,state,gender,median_home_val,median_household_income,num_habitaciones,num_vecinos,total_habitaciones,total_baños,dist_playa
189,CA,F,1843.0,515.0,511.0,575.0,582.0,,19.0
201,CA,F,1518.0,150.0,171.0,208.0,218.0,5043.0,5.055555556
209,CA,F,2375.0,371.0,363.0,411.0,,15361.0,4.142857143
219,CA,M,1676.0,371.0,336.0,398.0,372.0,13231.0,5.571428571
231,CA,F,668.0,187.0,191.0,239.0,240.0,6845.0,6.0
234,CA,F,1796.0,266.0,271.0,334.0,337.0,10720.0,20.0
236,CA,F,978.0,290.0,324.0,349.0,381.0,13490.0,15.85
250,CA,M,2431.0,563.0,579.0,655.0,,24290.0,10.89473684
259,CA,M,644.0,191.0,222.0,243.0,272.0,9569.0,11.44444444
262,CA,F,1745.0,397.0,512.0,485.0,521.0,18427.0,8.0
266,CA,F,1495.0,323.0,334.0,348.0,351.0,14923.0,5.714285714
276,CA,F,1449.0,378.0,439.0,395.0,470.0,16190.0,15.0
279,CA,F,1180.0,232.0,248.0,277.0,307.0,7582.0,9.666666667
281,CA,M,2869.0,630.0,668.0,686.0,745.0,24945.0,14.16666667
282,CA,F,1514.0,325.0,451.0,439.0,517.0,18572.0,11.4
288,CA,F,1854.0,289.0,377.0,339.0,402.0,11567.0,23.0
289,CA,F,2780.0,574.0,587.0,653.0,677.0,29871.0,9.828571429
290,CA,F,1538.0,319.0,305.0,349.0,351.0,11046.0,30.0
291,CA,F,1528.0,327.0,358.0,370.0,391.0,13190.0,19.16666667
296,CA,F,1865.0,256.0,295.0,317.0,362.0,16069.0,24.5
299,CA,M,2236.0,546.0,563.0,612.0,620.0,19923.0,9.785714286
307,CA,F,2930.0,372.0,454.0,456.0,491.0,24747.0,15.0
309,CA,F,2024.0,352.0,400.0,392.0,427.0,11885.0,8.631578947
313,CA,F,657.0,169.0,216.0,220.0,254.0,9583.0,8.666666667
315,CA,,2019.0,,423.0,478.0,512.0,12623.0,20.0
316,CA,M,1247.0,321.0,358.0,357.0,385.0,10994.0,7.376458333
321,CA,F,988.0,169.0,246.0,247.0,344.0,9190.0,6.25
322,CA,F,1500.0,282.0,353.0,332.0,382.0,13859.0,5.24
323,CA,F,1650.0,219.0,225.0,304.0,319.0,12994.0,12.5
337,CA,M,931.0,155.0,192.0,180.0,222.0,7968.0,5.571428571
340,CA,F,641.0,123.0,168.0,236.0,279.0,8046.0,9.462962963
345,CA,M,1175.0,272.0,318.0,376.0,396.0,12987.0,10.25
354,CA,F,1650.0,397.0,404.0,477.0,479.0,15002.0,15.0
362,CA,M,1276.0,423.0,524.0,497.0,521.0,17032.0,5.5
365,CA,F,2433.0,403.0,459.0,449.0,502.0,18284.0,6.266666667
370,CA,F,2300.0,311.0,345.0,350.0,375.0,16133.0,5.533333333
376,CA,F,2883.0,501.0,532.0,588.0,649.0,,13.33333333
380,CA,M,2307.0,477.0,478.0,490.0,499.0,14345.0,3.214285714
386,CA,,1069.0,267.0,320.0,318.0,369.0,11849.0,8.222222222
388,CA,F,1248.0,289.0,348.0,346.0,379.0,17282.0,7.5
392,CA,F,1654.0,159.0,203.0,266.0,313.0,8018.0,10.0
395,CA,F,1914.0,351.0,399.0,392.0,437.0,18951.0,9.090909091
399,CA,F,2206.0,574.0,567.0,583.0,562.0,12225.0,8.428571429
404,CA,M,2238.0,580.0,602.0,587.0,605.0,18247.0,3.25
405,CA,F,2811.0,524.0,577.0,599.0,645.0,23861.0,11.08333333
406,CA,F,1775.0,445.0,443.0,490.0,469.0,15256.0,10.0
413,CA,M,1685.0,430.0,479.0,449.0,540.0,15765.0,7.611111111
424,CA,M,2803.0,555.0,616.0,546.0,620.0,17655.0,12.2
430,CA,M,1811.0,350.0,405.0,440.0,466.0,18591.0,13.75
446,CA,M,1429.0,492.0,497.0,507.0,508.0,14106.0,4.75
452,CA,M,2469.0,340.0,411.0,475.0,522.0,23188.0,13.25
455,CA,M,967.0,300.0,348.0,342.0,412.0,13399.0,18.66666667
458,CA,M,1861.0,402.0,499.0,461.0,527.0,22794.0,14.0
470,CA,F,1185.0,354.0,373.0,369.0,383.0,11061.0,21.66666667
489,CA,,949.0,264.0,371.0,321.0,411.0,,12.5
491,CA,F,1372.0,385.0,419.0,421.0,449.0,13902.0,15.0
504,CA,F,875.0,280.0,330.0,326.0,,,11.75
512,CA,M,916.0,242.0,321.0,293.0,369.0,10719.0,22.0
515,CA,M,1582.0,299.0,335.0,330.0,359.0,,14.25
519,CA,F,2457.0,381.0,445.0,472.0,531.0,17557.0,12.5
525,CA,F,1468.0,365.0,363.0,361.0,371.0,13469.0,10.66666667
527,CA,F,1274.0,405.0,462.0,404.0,439.0,,4.454545455
531,CA,F,905.0,223.0,241.0,244.0,263.0,8614.0,6.111111111
534,CA,F,2833.0,207.0,172.0,282.0,278.0,15398.0,3.705882353
536,CA,M,1088.0,278.0,308.0,335.0,380.0,15011.0,7.285714286
538,CA,M,1859.0,,407.0,465.0,461.0,12512.0,4.272727273
544,CA,F,1875.0,,138.0,96.0,138.0,9127.0,8.333333333
549,CA,F,1185.0,338.0,368.0,402.0,445.0,14193.0,6.666666667
550,CA,F,2438.0,540.0,672.0,588.0,687.0,30429.0,40.75
555,CA,M,1158.0,369.0,398.0,373.0,386.0,11592.0,5.75
558,CA,F,675.0,172.0,379.0,242.0,405.0,17897.0,12.5
560,CA,M,1486.0,361.0,406.0,489.0,528.0,17774.0,12.75
565,CA,M,2094.0,600.0,606.0,639.0,654.0,22914.0,11.46153846
570,CA,M,1993.0,442.0,472.0,484.0,520.0,16427.0,4.5
572,CA,M,2973.0,614.0,674.0,656.0,721.0,30483.0,25.0
577,CA,F,1851.0,,531.0,530.0,563.0,17217.0,20.0
604,CA,F,1403.0,419.0,430.0,480.0,505.0,20395.0,9.4
607,CA,F,1578.0,306.0,304.0,342.0,337.0,7046.0,9.118235294
614,CA,F,2280.0,353.0,397.0,419.0,467.0,,5.484848485
628,CA,F,1869.0,358.0,358.0,,359.0,15739.0,20.0
643,CA,F,574.0,223.0,243.0,241.0,263.0,8735.0,23.11111111
653,CA,M,1035.0,328.0,339.0,298.0,313.0,,4.15
688,CA,F,813.0,297.0,360.0,348.0,424.0,22764.0,22.8125
697,CA,M,676.0,156.0,172.0,201.0,203.0,,12.13333333
712,CA,M,2741.0,618.0,609.0,586.0,558.0,21986.0,12.4
718,CA,,1034.0,176.0,249.0,222.0,295.0,10176.0,9.0
727,CA,M,1483.0,306.0,333.0,382.0,416.0,17874.0,14.07692308
731,CA,F,1773.0,292.0,306.0,346.0,367.0,,15.0
732,CA,M,946.0,382.0,436.0,465.0,524.0,18560.0,6.0
736,CA,M,2312.0,456.0,516.0,531.0,589.0,21372.0,8.941176471
745,CA,F,2679.0,445.0,470.0,535.0,572.0,,6.583333333
748,CA,F,1246.0,,296.0,339.0,362.0,11851.0,7.5
751,CA,F,955.0,329.0,332.0,346.0,359.0,10736.0,12.33333333
756,CA,M,1432.0,420.0,423.0,453.0,461.0,14210.0,7.2
784,CA,,1609.0,346.0,435.0,404.0,435.0,16568.0,3.152173913
791,CA,F,1184.0,,341.0,352.0,368.0,13817.0,9.875
797,CA,F,1349.0,370.0,418.0,,480.0,23716.0,12.5
801,CA,M,1467.0,311.0,323.0,356.0,392.0,15108.0,7.333333333
808,CA,M,2680.0,314.0,506.0,402.0,517.0,20665.0,20.0
813,CA,F,1709.0,511.0,518.0,527.0,537.0,,15.0
820,CA,M,2645.0,644.0,655.0,682.0,697.0,20782.0,8.75
821,CA,F,1952.0,335.0,365.0,367.0,398.0,15290.0,13.0
823,CA,M,2213.0,447.0,447.0,491.0,491.0,16702.0,4.95
824,CA,F,1455.0,376.0,417.0,393.0,426.0,,6.35
826,CA,F,2453.0,438.0,451.0,436.0,475.0,15707.0,5.8125
838,CA,M,1367.0,342.0,329.0,359.0,355.0,14197.0,6.75
848,CA,M,1137.0,348.0,362.0,425.0,444.0,11621.0,9.0
851,CA,F,2190.0,611.0,655.0,669.0,709.0,23641.0,6.5
854,CA,F,1814.0,328.0,418.0,380.0,410.0,,10.66666667
868,CA,M,666.0,213.0,253.0,268.0,288.0,8943.0,8.166666667
875,CA,F,872.0,294.0,307.0,343.0,356.0,12433.0,20.4
878,CA,M,620.0,,270.0,279.0,309.0,10406.0,12.36142857
885,CA,F,1063.0,,148.0,206.0,223.0,6871.0,3.035714286
893,CA,F,2516.0,595.0,649.0,641.0,691.0,22684.0,13.65517241
902,CA,F,1586.0,308.0,321.0,337.0,369.0,,9.5
904,CA,F,2105.0,301.0,314.0,372.0,395.0,13279.0,15.33333333
911,CA,,2688.0,306.0,367.0,418.0,449.0,24944.0,8.642857143
916,CA,M,883.0,281.0,333.0,315.0,362.0,,14.85714286
919,CA,F,2620.0,481.0,490.0,519.0,523.0,16047.0,14.42857143
924,CA,F,1537.0,495.0,509.0,528.0,,17689.0,11.19230769
935,CA,,1805.0,398.0,394.0,441.0,447.0,14703.0,10.66666667
937,CA,F,2250.0,181.0,159.0,192.0,167.0,11346.0,6.0
944,CA,M,2750.0,252.0,332.0,302.0,392.0,19558.0,10.66666667
954,CA,F,886.0,318.0,339.0,360.0,388.0,12332.0,5.222222222
972,CA,F,1207.0,284.0,303.0,458.0,488.0,19872.0,7.25
983,CA,F,2375.0,428.0,471.0,535.0,571.0,23387.0,20.0
984,CA,F,1091.0,330.0,348.0,382.0,397.0,14093.0,11.95238095
992,CA,M,1668.0,648.0,664.0,663.0,668.0,,13.38461539
997,CA,F,2022.0,441.0,,496.0,569.0,21300.0,4.777777778
999,CA,F,1406.0,431.0,536.0,453.0,556.0,21369.0,15.0
1006,CA,M,2397.0,409.0,486.0,402.0,459.0,16946.0,9.9
1014,CA,F,1158.0,369.0,398.0,373.0,386.0,11592.0,4.090909091
1021,CA,F,1428.0,301.0,277.0,322.0,297.0,,25.0
1024,CA,F,2807.0,478.0,497.0,504.0,542.0,17103.0,12.75
1036,CA,M,1126.0,243.0,261.0,275.0,285.0,8614.0,20.8
1045,CA,M,2362.0,613.0,632.0,655.0,678.0,21179.0,13.375
1046,CA,,2163.0,484.0,522.0,537.0,581.0,17262.0,4.833333333
1081,CA,M,2257.0,485.0,541.0,488.0,,17885.0,6.5
1083,CA,M,1327.0,397.0,409.0,435.0,442.0,15850.0,11.33333333
1097,CA,F,2324.0,374.0,404.0,445.0,484.0,14229.0,10.6
1113,CA,F,2312.0,456.0,516.0,531.0,589.0,21372.0,6.333333333
1118,CA,F,2166.0,415.0,402.0,457.0,445.0,16471.0,8.095238095
1124,CA,F,1633.0,286.0,318.0,306.0,351.0,16765.0,5.8
1128,CA,F,1693.0,423.0,467.0,457.0,492.0,17493.0,11.66666667
1142,CA,M,1967.0,371.0,409.0,403.0,436.0,24029.0,10.5
1164,CA,F,2184.0,351.0,376.0,394.0,419.0,16480.0,12.5
1173,CA,F,1072.0,284.0,306.0,378.0,427.0,14572.0,17.85714286
1176,CA,M,1803.0,281.0,418.0,364.0,492.0,24681.0,13.71428571
1179,CA,F,1537.0,495.0,509.0,528.0,544.0,17689.0,13.0
1182,CA,F,1722.0,,406.0,365.0,408.0,15603.0,6.071428571
1185,CA,F,2486.0,475.0,508.0,516.0,543.0,,3.491935484
1186,CA,F,2813.0,313.0,366.0,,474.0,23850.0,10.0
1199,CA,M,1325.0,381.0,458.0,403.0,464.0,19380.0,16.35294118
1205,CA,F,942.0,204.0,254.0,306.0,304.0,10323.0,5.611111111
1209,CA,M,1771.0,,335.0,322.0,341.0,17567.0,11.1875
1213,CA,M,931.0,307.0,318.0,332.0,343.0,12060.0,5.090909091
1216,CA,F,2521.0,412.0,424.0,512.0,516.0,13961.0,5.555555556
1217,CA,F,1364.0,244.0,255.0,296.0,308.0,6939.0,18.75
1220,CA,F,810.0,180.0,214.0,217.0,264.0,12413.0,12.83333333
1221,CA,M,1960.0,265.0,321.0,362.0,469.0,17243.0,6.3
1222,CA,F,770.0,213.0,264.0,276.0,313.0,11794.0,4.714285714
1225,CA,F,1436.0,308.0,347.0,338.0,372.0,11970.0,25.0
1234,CA,F,1985.0,414.0,446.0,467.0,490.0,17181.0,10.36363636
1235,CA,F,1016.0,235.0,246.0,278.0,303.0,,20.0
1255,CA,F,2292.0,642.0,670.0,680.0,710.0,22186.0,6.4
1260,CA,M,439.0,203.0,203.0,230.0,228.0,5774.0,5.636363636
1261,CA,M,1967.0,371.0,418.0,438.0,482.0,15962.0,5.261851852
1269,CA,F,2766.0,362.0,433.0,398.0,439.0,17063.0,13.0
1278,CA,F,1922.0,284.0,307.0,300.0,332.0,,5.545454545
1293,CA,M,2917.0,625.0,613.0,712.0,709.0,23064.0,10.09090909
1294,CA,F,1990.0,301.0,326.0,389.0,395.0,14403.0,15.0
1308,CA,F,1856.0,504.0,523.0,516.0,536.0,17132.0,13.0
1321,CA,F,2541.0,423.0,486.0,454.0,528.0,19220.0,24.28571429
1328,CA,F,1167.0,211.0,272.0,329.0,406.0,16425.0,11.14285714
1330,CA,M,1834.0,442.0,371.0,441.0,420.0,11448.0,14.8
1332,CA,F,2125.0,375.0,399.0,411.0,468.0,21196.0,20.0
1334,CA,F,669.0,190.0,,214.0,226.0,7245.0,8.4
1345,CA,F,1878.0,351.0,439.0,389.0,475.0,15262.0,5.3
1352,CA,F,1644.0,396.0,426.0,450.0,489.0,16298.0,3.0
1368,CA,F,2159.0,233.0,280.0,247.0,394.0,12950.0,20.17647059
1370,CA,F,2153.0,320.0,379.0,360.0,397.0,15000.0,22.5
1371,CA,F,2051.0,523.0,545.0,543.0,561.0,19319.0,33.0
1373,CA,M,986.0,354.0,389.0,369.0,405.0,13968.0,7.6
1386,CA,M,1971.0,553.0,605.0,559.0,607.0,17576.0,15.0
1392,CA,F,2855.0,311.0,385.0,484.0,537.0,18525.0,11.46153846
1396,CA,M,1170.0,210.0,220.0,252.0,255.0,7629.0,5.7
1397,CA,F,2353.0,301.0,316.0,333.0,367.0,10333.0,25.0
1399,CA,F,1713.0,217.0,244.0,310.0,334.0,9763.0,15.0
1406,CA,M,2044.0,329.0,337.0,397.0,423.0,13686.0,10.75
1429,CA,M,2971.0,302.0,288.0,340.0,322.0,6309.0,7.0
1443,CA,F,2322.0,506.0,548.0,469.0,579.0,19463.0,4.431034483
1448,CA,F,1788.0,368.0,424.0,415.0,514.0,23026.0,11.0
1451,CA,M,1728.0,470.0,511.0,503.0,523.0,16413.0,25.0
1453,CA,F,2674.0,561.0,574.0,648.0,662.0,37883.0,19.16666667
1455,CA,M,479.0,208.0,268.0,272.0,322.0,11081.0,9.555555556
1457,CA,F,1821.0,454.0,466.0,486.0,505.0,17008.0,7.384615385
1459,CA,F,1231.0,323.0,398.0,367.0,412.0,14716.0,12.3
1469,CA,M,2083.0,198.0,186.0,220.0,211.0,6972.0,3.8125
1473,CA,M,2424.0,426.0,446.0,483.0,542.0,19561.0,14.5
1485,CA,M,755.0,218.0,232.0,282.0,290.0,8572.0,11.33333333
1487,CA,F,2596.0,515.0,518.0,584.0,588.0,20539.0,24.16666667
1488,CA,F,1257.0,356.0,358.0,427.0,445.0,17145.0,6.384615385
1508,CA,M,2498.0,518.0,550.0,570.0,606.0,18830.0,25.0
1510,CA,M,710.0,236.0,388.0,313.0,400.0,,13.57142857
1520,CA,F,875.0,226.0,224.0,254.0,254.0,7095.0,6.0
1521,CA,M,883.0,247.0,272.0,310.0,336.0,11712.0,4.944444444
1531,CA,F,1205.0,399.0,408.0,444.0,450.0,,9.8
1543,CA,F,1149.0,222.0,263.0,250.0,273.0,9856.0,6.619047619
1549,CA,F,2113.0,422.0,450.0,502.0,532.0,19377.0,9.0
1550,CA,F,1104.0,266.0,275.0,323.0,319.0,9833.0,2.637931034
1555,CA,M,1309.0,409.0,419.0,424.0,432.0,12004.0,12.0
1579,CA,F,838.0,163.0,176.0,235.0,241.0,6653.0,6.666666667
1587,CA,M,1831.0,280.0,324.0,313.0,380.0,13119.0,5.166666667
1607,CA,M,2298.0,290.0,302.0,308.0,322.0,13270.0,25.0
1624,CA,M,2259.0,557.0,567.0,600.0,603.0,18914.0,6.4
1634,CA,F,1953.0,304.0,353.0,337.0,380.0,13811.0,13.5
1651,CA,M,1485.0,399.0,478.0,432.0,469.0,15254.0,12.875
1652,CA,F,1115.0,313.0,340.0,354.0,391.0,,11.4375
1659,CA,F,1895.0,317.0,389.0,405.0,471.0,17431.0,6.705882353
1668,CA,F,1188.0,166.0,218.0,194.0,243.0,10014.0,8.333333333
1670,CA,F,2412.0,549.0,534.0,564.0,549.0,16642.0,20.0
1672,CA,F,2043.0,296.0,569.0,399.0,598.0,15530.0,13.8
1679,CA,M,2476.0,366.0,453.0,470.0,537.0,15702.0,17.66666667
1700,CA,F,1968.0,416.0,485.0,449.0,496.0,16541.0,9.4
1715,CA,F,1232.0,203.0,229.0,241.0,267.0,10129.0,3.714285714
1719,CA,F,2099.0,588.0,609.0,610.0,643.0,19738.0,10.7
1720,CA,M,2264.0,430.0,441.0,,392.0,16795.0,11.0
1733,CA,F,2356.0,520.0,683.0,651.0,762.0,31180.0,11.28
1749,CA,M,1447.0,296.0,402.0,355.0,434.0,17489.0,23.85714286
1754,CA,M,1234.0,284.0,276.0,308.0,284.0,8270.0,5.75
1757,CA,M,1734.0,607.0,635.0,638.0,674.0,22234.0,8.571428571
1760,CA,M,2105.0,535.0,555.0,557.0,578.0,17785.0,10.44444444
1761,CA,F,1368.0,379.0,416.0,487.0,528.0,23121.0,6.852941177
1772,CA,F,670.0,182.0,194.0,239.0,252.0,8448.0,8.857142857
1777,CA,F,960.0,288.0,272.0,329.0,314.0,13094.0,23.75
1781,CA,F,2111.0,463.0,551.0,529.0,580.0,22198.0,20.0
1787,CA,F,2247.0,357.0,425.0,430.0,500.0,18748.0,9.517241379
1791,CA,M,1601.0,329.0,351.0,453.0,492.0,,11.85714286
1795,CA,F,2380.0,420.0,490.0,567.0,586.0,,8.47826087
1803,CA,F,2679.0,564.0,600.0,595.0,592.0,,8.95
1806,CA,F,2192.0,364.0,425.0,407.0,487.0,17677.0,3.777777778
1810,CA,F,2875.0,290.0,374.0,347.0,442.0,24936.0,10.0
1811,CA,F,885.0,207.0,171.0,263.0,220.0,6142.0,18.2
1819,CA,F,2439.0,521.0,572.0,574.0,619.0,21808.0,17.0
1823,CA,M,2102.0,342.0,412.0,416.0,463.0,16054.0,15.0
1838,CA,F,1812.0,415.0,452.0,435.0,464.0,16451.0,4.615384615
1851,CA,F,1392.0,343.0,381.0,484.0,516.0,19194.0,15.0
1852,CA,F,956.0,205.0,272.0,272.0,325.0,13234.0,6.085714286
1853,CA,,2341.0,311.0,469.0,427.0,502.0,13577.0,8.0
1858,CA,F,1444.0,439.0,441.0,475.0,485.0,16815.0,6.8
1863,CA,M,633.0,269.0,273.0,291.0,299.0,9551.0,25.0
1875,CA,F,1429.0,,253.0,315.0,329.0,9400.0,12.0
1876,CA,M,1637.0,345.0,405.0,403.0,454.0,15788.0,11.625
1879,CA,F,1259.0,389.0,396.0,434.0,458.0,15213.0,13.16666667
1881,CA,M,2123.0,458.0,480.0,517.0,539.0,16611.0,24.11538462
1892,CA,M,956.0,190.0,278.0,257.0,303.0,8899.0,9.666666667
1894,CA,F,788.0,71.0,119.0,116.0,155.0,6409.0,8.2
1911,CA,,2941.0,677.0,804.0,712.0,819.0,28577.0,11.66666667
1912,CA,M,1857.0,484.0,497.0,526.0,531.0,13912.0,20.0
1916,CA,F,809.0,159.0,191.0,209.0,227.0,7074.0,4.585714286
1921,CA,M,2961.0,664.0,665.0,716.0,708.0,23204.0,14.66666667
1924,CA,M,1519.0,346.0,381.0,406.0,429.0,14162.0,10.22222222
1925,CA,F,1465.0,,341.0,369.0,519.0,,10.70588235
1926,CA,M,2765.0,695.0,709.0,733.0,753.0,,8.833333333
1936,CA,F,1368.0,379.0,416.0,487.0,528.0,,5.551724138
1939,CA,M,609.0,220.0,238.0,297.0,319.0,11902.0,9.166666667
1950,CA,M,1345.0,446.0,488.0,477.0,503.0,,11.94444444
1955,CA,F,621.0,250.0,266.0,275.0,307.0,10599.0,10.16666667
1957,CA,M,1315.0,304.0,369.0,355.0,409.0,,27.5
1969,CA,F,675.0,344.0,520.0,438.0,589.0,23719.0,22.66666667
1972,CA,F,1884.0,518.0,580.0,542.0,636.0,19818.0,16.0
1976,CA,M,2170.0,412.0,421.0,461.0,500.0,,38.66666667
1979,CA,F,2423.0,527.0,561.0,578.0,610.0,19438.0,21.66666667
1984,CA,F,1073.0,359.0,392.0,432.0,453.0,16918.0,9.0
1988,CA,F,1881.0,413.0,499.0,475.0,507.0,25215.0,22.8
1993,CA,F,1398.0,150.0,213.0,223.0,272.0,8690.0,122.1666667
1995,CA,M,2287.0,,615.0,630.0,652.0,,20.0
2003,CA,M,2103.0,333.0,306.0,385.0,368.0,9513.0,25.0
2007,CA,F,2208.0,313.0,334.0,393.0,411.0,,11.5
2014,CA,M,2578.0,338.0,347.0,415.0,430.0,11844.0,13.18181818
2017,CA,F,1292.0,266.0,355.0,436.0,498.0,,10.76190476
2023,CA,F,1724.0,455.0,462.0,492.0,539.0,20019.0,8.647058824
2025,CA,M,2546.0,364.0,389.0,444.0,462.0,15100.0,7.764705882
2029,CA,F,2172.0,352.0,344.0,413.0,369.0,11235.0,22.75
2032,CA,M,2632.0,517.0,572.0,571.0,618.0,22438.0,6.6
2052,CA,F,1493.0,229.0,298.0,276.0,320.0,10841.0,9.303030303
2055,CA,F,2291.0,353.0,407.0,402.0,440.0,13687.0,18.0
2060,CA,M,1951.0,366.0,385.0,369.0,400.0,12255.0,4.619047619
2062,CA,F,1161.0,197.0,289.0,262.0,350.0,12764.0,6.3
2065,CA,M,1873.0,394.0,428.0,453.0,481.0,19031.0,20.0
2069,CA,F,1580.0,503.0,490.0,515.0,483.0,15111.0,9.0
2070,CA,M,2211.0,592.0,584.0,625.0,639.0,18973.0,12.36363636
2073,CA,F,2346.0,569.0,568.0,644.0,617.0,21982.0,6.923076923
2090,CA,F,1577.0,364.0,377.0,422.0,,12819.0,6.352941177
2095,CA,F,2982.0,609.0,660.0,635.0,713.0,21687.0,7.235294118
2102,CA,F,882.0,406.0,431.0,419.0,444.0,12842.0,6.052631579
2107,CA,M,2763.0,465.0,571.0,530.0,626.0,22975.0,20.0
2109,CA,M,2158.0,576.0,617.0,604.0,651.0,20066.0,9.857142857
2111,CA,F,2235.0,441.0,459.0,449.0,478.0,15262.0,5.6
2114,CA,,728.0,,241.0,214.0,286.0,11426.0,8.625
2115,CA,M,1345.0,372.0,436.0,,437.0,17201.0,15.0
2126,CA,F,2166.0,427.0,515.0,471.0,559.0,15653.0,14.33333333
2128,CA,F,945.0,275.0,324.0,317.0,347.0,12089.0,13.33333333
2129,CA,F,1408.0,390.0,469.0,432.0,508.0,17886.0,3.285714286
2136,CA,M,2278.0,370.0,424.0,462.0,508.0,18777.0,9.625
2141,CA,F,2443.0,423.0,502.0,506.0,580.0,21089.0,12.5
2145,CA,M,1314.0,363.0,379.0,376.0,398.0,12406.0,17.5
2147,CA,M,2252.0,595.0,608.0,645.0,658.0,20460.0,15.0
2152,CA,F,1875.0,226.0,575.0,343.0,622.0,23383.0,6.083333333
2153,CA,F,2841.0,426.0,460.0,476.0,512.0,15278.0,20.0
2155,CA,F,2170.0,397.0,468.0,473.0,542.0,22655.0,10.8
2172,CA,M,1733.0,410.0,441.0,412.0,442.0,13449.0,8.96875
2179,CA,F,1099.0,366.0,363.0,391.0,404.0,13229.0,4.833333333
2183,CA,M,2182.0,555.0,561.0,559.0,569.0,17516.0,19.0
2198,CA,F,1254.0,420.0,411.0,455.0,438.0,,4.285714286
2211,CA,F,1033.0,246.0,256.0,260.0,267.0,11090.0,12.625
2213,CA,F,1537.0,495.0,509.0,528.0,544.0,17689.0,8.375
2216,CA,F,1568.0,328.0,406.0,375.0,451.0,17761.0,10.19047619
2220,CA,F,1936.0,353.0,360.0,407.0,409.0,9361.0,10.72727273
2221,CA,F,1215.0,296.0,319.0,352.0,373.0,12319.0,22.5625
2222,CA,F,1375.0,92.0,279.0,125.0,203.0,12453.0,14.25
2236,CA,F,1310.0,327.0,316.0,411.0,399.0,11859.0,20.0
2237,CA,F,2959.0,404.0,434.0,500.0,536.0,19718.0,9.444444444
2240,CA,M,2776.0,651.0,667.0,715.0,717.0,,12.5
2247,CA,F,724.0,158.0,213.0,226.0,277.0,11223.0,5.057142857
2252,CA,F,2339.0,416.0,416.0,442.0,454.0,14849.0,12.85714286
2253,CA,,1949.0,288.0,334.0,384.0,374.0,16663.0,36.8
2263,CA,F,2145.0,474.0,492.0,522.0,554.0,,11.57142857
2265,CA,M,2429.0,315.0,413.0,375.0,456.0,18050.0,8.75
2274,CA,F,1553.0,215.0,238.0,295.0,318.0,8322.0,5.863636364
